Channel ID,Title,Username,Link,Members Count
1433133196,Khmer Times Breaking News,khmertimesbreakingnews,https://t.me/khmertimesbreakingnews,21234
1454058196,RFI ខេមរភាសា / RFI Khmer,RFI_Km,https://t.me/RFI_Km,13137
1170526544,វិទ្យុអាស៊ីសេរី/ RFA Khmer,rfakhmer,https://t.me/rfakhmer,12422
1262534701,Khmerload,khmerload,https://t.me/khmerload,46272
1489235777,Khmer Angkor,khmeranogkor,https://t.me/khmeranogkor,44638
1782078279,Samdech Hun Sen of Cambodia,spmhunsen,https://t.me/spmhunsen,672735
1367360638,"Samdech Thipadei Hun Manet, Prime Minister of Cambodia",Dr_Hunmanetofcambodia,https://t.me/Dr_Hunmanetofcambodia,458766
2149384167,CAMBODIA NEWS KH UN,Cambodainew123,https://t.me/Cambodainew123,31863
1210141606,MFAIC (Cambodia)-NEWS,MFAICNews,https://t.me/MFAICNews,17512
1750793205,Cambodian Premier League - CPL 🇰🇭,thecpl2024,https://t.me/thecpl2024,21687
1483105373,កម្ពុជា ៤.០ - Cambodia 4.0,cambodia4point0,https://t.me/cambodia4point0,11265
1281746506,The Phnom Penh Post,thephnompenhpost,https://t.me/thephnompenhpost,11941
1576246798,UYFC Phnom Penh,uyfc_pp,https://t.me/uyfc_pp,23099
2487917287,SabayFlix,sabayflix,https://t.me/sabayflix,121074
1441277423,Khmer News,khmernewschannel,https://t.me/khmernewschannel,16108
2293499916,ព័ត៍មានទាន់ហេតុការ | Breaking News,cambodiannew,https://t.me/cambodiannew,34354
1200607316,Siem Reap Post,srpostnews,https://t.me/srpostnews,10660
2043888607,English Tutor Institute (Siem Reap),englishtutorinstitute,https://t.me/englishtutorinstitute,16650
1340749579,Khmer song channel,khmermusicfree,https://t.me/khmermusicfree,11758
1005155016,FRESH NEWS,freshnewsasia,https://t.me/freshnewsasia,142317
1290196299,THMEY THMEY NEWS,thmeythmeymedia,https://t.me/thmeythmeymedia,26944
1687911197,𝗠𝘂𝘀𝗶𝗰 𝗮𝗻𝗱 𝗩𝗶𝗱𝗲𝗼 ♪,Song_SaD_KhMeR,https://t.me/Song_SaD_KhMeR,33531
1614622056,REMIX & SONG KHMER 🎧,Remix_SongKhmer,https://t.me/Remix_SongKhmer,17491
1495516968,Hiring Cambodia Jobs,HiringCambodiaJobs,https://t.me/HiringCambodiaJobs,35975
1257446697,Koh Santepheap Daily,kohsantepheapdaily,https://t.me/kohsantepheapdaily,14419
1413500641,CNC HOT NEWS 🇰🇭,cnc_hotnews,https://t.me/cnc_hotnews,23755
1244624782,រ៉ែនដូ Kun Khmer Fighter,KunKhmerFighter,https://t.me/KunKhmerFighter,15192
